,url,no_votes,no_views,creation_date
0,https://academia.stackexchange.com/questions/130607/failing-students-when-it-might-cause-them-economic-ruin,214,21512,2019-05-15
1,https://academia.stackexchange.com/questions/135907/my-research-paper-filed-as-a-patent-in-china-by-my-chinese-supervisor-without-me,163,25922,2019-09-09
2,https://academia.stackexchange.com/questions/131523/teaching-a-class-likely-meant-to-inflate-the-gpa-of-student-athletes,150,21610,2019-06-05
3,https://academia.stackexchange.com/questions/131968/is-declining-an-undergraduate-award-which-causes-me-discomfort-appropriate,142,19076,2019-06-16
4,https://academia.stackexchange.com/questions/135842/is-it-appropriate-for-a-professor-to-require-students-to-sign-a-non-disclosure-a,141,20742,2019-09-08
5,https://academia.stackexchange.com/questions/134002/should-i-intervene-when-a-colleague-in-a-different-department-makes-students-run,139,21710,2019-07-29
6,https://academia.stackexchange.com/questions/124689/whats-the-point-of-phd-theses-if-nobody-reads-them,124,40811,2019-02-10
7,https://academia.stackexchange.com/questions/125135/taking-an-academic-pseudonym,121,16569,2019-02-18
8,https://academia.stackexchange.com/questions/140986/is-publishing-runnable-code-instead-of-pseudo-code-shunned,121,17937,2019-12-03
9,https://academia.stackexchange.com/questions/123593/in-a-yes-no-question-student-gives-the-right-answer-and-a-unnecessary-but-wrong,111,36199,2019-01-23
10,https://academia.stackexchange.com/questions/122795/dressing-down-to-impress-in-academic-settings,109,26858,2019-01-09
11,https://academia.stackexchange.com/questions/128544/my-admission-is-revoked-after-accepting-the-admission-offer,104,16086,2019-04-23
12,https://academia.stackexchange.com/questions/122576/will-my-cancer-ruin-my-chances-of-going-to-graduate-school-in-math,102,16783,2019-01-05
13,https://academia.stackexchange.com/questions/124037/is-it-unethical-to-supply-a-marked-solution-to-a-student-who-has-shown-intent-to,102,20279,2019-01-30
14,https://academia.stackexchange.com/questions/125524/do-authors-have-to-be-politically-correct-in-article-writing,101,18007,2019-02-25
15,https://academia.stackexchange.com/questions/137447/a-famous-scholar-sent-me-an-unpublished-draft-of-hers-then-she-died-i-think-he,101,19473,2019-09-21
16,https://academia.stackexchange.com/questions/133206/professor-falsely-accusing-me-of-cheating-in-a-class-he-does-not-teach-two-mont,100,19657,2019-07-10
17,https://academia.stackexchange.com/questions/126353/is-having-access-to-past-exams-cheating-and-if-yes-could-it-be-proven-just-by,94,22401,2019-03-12
18,https://academia.stackexchange.com/questions/134991/what-to-say-to-a-student-who-has-failed,93,19293,2019-08-21
19,https://academia.stackexchange.com/questions/139654/i-have-stack-exchanged-through-my-undergrad-math-program-am-i-likely-to-succeed,91,16951,2019-11-06
20,https://academia.stackexchange.com/questions/127473/is-it-acceptable-for-a-professor-to-tell-male-students-to-not-think-that-they-ar,86,14207,2019-04-03
21,https://academia.stackexchange.com/questions/138189/first-author-doesnt-want-a-co-author-to-read-the-whole-paper,85,15031,2019-10-07
22,https://academia.stackexchange.com/questions/137708/is-there-any-problem-with-students-seeing-faculty-naked-in-university-gym,84,14761,2019-09-27
23,https://academia.stackexchange.com/questions/139941/are-results-that-are-derived-simply-by-using-more-computational-power-publishabl,84,11983,2019-11-13
24,https://academia.stackexchange.com/questions/140877/am-i-being-exploited-by-my-supervisor,82,14212,2019-11-30
25,https://academia.stackexchange.com/questions/125570/citing-paywalled-articles-accessed-via-illegal-web-sharing,81,12395,2019-02-26
26,https://academia.stackexchange.com/questions/132376/how-did-researchers-find-articles-before-the-internet-and-the-computer-era,81,14061,2019-06-24
27,https://academia.stackexchange.com/questions/125957/giving-a-career-talk-in-my-old-university-how-prominently-should-i-tell-student,80,25887,2019-03-05
28,https://academia.stackexchange.com/questions/138877/how-can-i-tell-if-i-have-simplified-my-talk-too-much,80,10911,2019-10-22
29,https://academia.stackexchange.com/questions/140196/i-noticed-an-error-in-a-graded-exam-during-office-hours-should-i-give-the-stude,78,19892,2019-11-18
30,https://academia.stackexchange.com/questions/124255/is-it-appropriate-to-request-that-the-department-hire-a-female-faculty-member,77,27516,2019-02-02
31,https://academia.stackexchange.com/questions/132687/should-i-cheat-if-the-majority-does-it,76,20600,2019-07-01
32,https://academia.stackexchange.com/questions/125149/found-a-major-flaw-in-paper-from-home-university-to-which-i-would-like-to-retu,73,15219,2019-02-18
33,https://academia.stackexchange.com/questions/127175/was-a-professor-correct-to-chastise-me-for-writing-prof-x-rather-than-profes,72,16834,2019-03-28
34,https://academia.stackexchange.com/questions/134006/rampant-sharing-of-authorship-among-colleagues-in-the-name-of-collaboration-i,73,10722,2019-07-29
35,https://academia.stackexchange.com/questions/135086/handling-disruptive-student-on-the-autism-spectrum,72,7753,2019-08-23
36,https://academia.stackexchange.com/questions/139862/the-lecturer-supposed-to-grade-my-presentation-fell-asleep-while-i-held-it-shou,71,20310,2019-11-11
37,https://academia.stackexchange.com/questions/124555/why-is-plagiarising-words-such-a-big-deal,70,18084,2019-02-07
38,https://academia.stackexchange.com/questions/129814/when-and-why-did-journal-article-titles-become-descriptive-rather-than-creative,70,10544,2019-04-28
39,https://academia.stackexchange.com/questions/130454/is-there-any-good-reason-to-write-it-is-easy-to-see,70,11247,2019-05-12
40,https://academia.stackexchange.com/questions/140951/how-to-educate-bachelor-and-master-exchange-students-from-asia,70,10659,2019-12-02
41,https://academia.stackexchange.com/questions/141199/i-wasted-six-years-of-my-life-getting-a-phd-degree-what-should-i-do-and-how-wi,70,25206,2019-12-07
42,https://academia.stackexchange.com/questions/141136/what-should-be-done-when-the-theory-behind-a-phd-thesis-turns-out-to-be-wrong,69,12582,2019-12-06
43,https://academia.stackexchange.com/questions/124804/etiquette-question-is-there-such-a-thing-as-accepting-an-offer-too-early,67,18734,2019-02-11
44,https://academia.stackexchange.com/questions/130558/i-recently-started-my-machine-learning-phd-and-i-have-absolutely-no-idea-what-i,66,19577,2019-05-14
45,https://academia.stackexchange.com/questions/133068/graduate-student-with-abysmal-english-writing-skills-how-to-help,66,13072,2019-07-08
46,https://academia.stackexchange.com/questions/141363/students-using-the-same-flawed-online-solution-sheet-as-the-grading-ta,66,13820,2019-12-10
47,https://academia.stackexchange.com/questions/123994/am-i-conveying-disrespect-if-i-omit-my-gender-pronoun-from-a-conference-nametag,65,25563,2019-01-29
48,https://academia.stackexchange.com/questions/124084/why-do-so-many-phds-choose-to-join-academia-instead-of-industry-given-the-pay-in,65,21289,2019-01-31
