,owner_id,owner_url,owner_type,owner_repute,tags,score,view_count,answer_count,last_edit_date,last_activity_date,creation_date,q_id,q_link,q_title
0,10517777,https://stackoverflow.com/users/10517777/sergiomoreno,registered,25,python&python-3.x&pyhook,2,75,0,1582123125,1582123125,1576504384,59358048,https://stackoverflow.com/questions/59358048/pyhook-crashes-when-it-tries-to-interpret-the-window-name-as-ascii,Pyhook crashes when it tries to interpret the window name as ASCII
1,4404444,https://stackoverflow.com/users/4404444/fluffybunny,registered,39,amazon-web-services&vpc&aws-vpc,1,23,1,NO-DATA,1582123107,1549442697,54549570,https://stackoverflow.com/questions/54549570/rules-for-detecting-malicious-or-suspicious-vpc-flow-log-entry,Rules for detecting malicious or suspicious VPC flow log entry
2,10927160,https://stackoverflow.com/users/10927160/salah112,registered,11,android&ios&dart&flutter,1,1860,3,NO-DATA,1582123060,1547719485,54233412,https://stackoverflow.com/questions/54233412/flutter-pub-get-failed-66,Flutter: pub get failed (66)
3,328808,https://stackoverflow.com/users/328808/natan-cox,registered,1199,java&spring-boot&aop&aspectj,3,869,4,NO-DATA,1582123053,1561503753,56763066,https://stackoverflow.com/questions/56763066/how-to-test-an-aspect-with-springboottest,How to test an aspect with SpringBootTest?
4,61624,https://stackoverflow.com/users/61624/daniel-kaplan,registered,49171,javascript&typescript&aws-sdk&amazon-athena&aws-sdk-js,9,440,2,1581443593,1582122742,1563907123,57170330,https://stackoverflow.com/questions/57170330/athena-getqueryexecution-returns-a-status-of-running-for-1-minute-even-though,"athena.getQueryExecution returns a status of RUNNING for 1 minute+, even though history says the job took 4 seconds"
5,7111582,https://stackoverflow.com/users/7111582/joxs,registered,1,javascript&jquery&carousel&slick&slick.js,0,18,2,NO-DATA,1582122733,1574107693,58922150,https://stackoverflow.com/questions/58922150/is-there-any-way-to-change-the-directions-left-to-right-in-slick-carousel-defa,Is there any way to change the directions left to right in Slick carousel ? Default it goes Right to left directions
6,2716108,https://stackoverflow.com/users/2716108/suganthan-raj,registered,1440,json&ansible,1,783,1,1563256118,1582122537,1563186451,57037832,https://stackoverflow.com/questions/57037832/how-to-resolve-warningthe-value-4-type-int-in-a-string-field-was-converted-to,How to resolve WARNING:The value 4 (type int) in a string field was converted to u&#39;4&#39; (type string) in ansible?
7,12083920,https://stackoverflow.com/users/12083920/yash-sinha,registered,11,dml&ab-initio,1,58,3,1577003205,1582122451,1576046351,59280085,https://stackoverflow.com/questions/59280085/ab-initio-to-read-comma-delimited-values,Ab initio to read comma delimited values
8,12295047,https://stackoverflow.com/users/12295047/cobber,registered,33,excel&vba,2,58,0,1582122407,1582122407,1573819634,58876730,https://stackoverflow.com/questions/58876730/count-only-visible-data-after-filtering,Count only visible data after filtering
9,6708627,https://stackoverflow.com/users/6708627/codezingat,registered,177,css&sass&css-selectors&text-styling,0,173,1,1551112559,1582122357,1550224968,54706846,https://stackoverflow.com/questions/54706846/is-there-any-css-selector-to-target-last-class,Is there any CSS selector to target last class?
