,ques_id,url,answers,comments
0,58747823,https://stackoverflow.com/questions/58747823/duplicate-function-implementation,60322295&60295738&60274869,106690990&106676117&106573506&106566623&106708583&106667964
1,57277759,https://stackoverflow.com/questions/57277759/getactivenetworkinfo-is-deprecated-in-api-29,57285217&57278620&57277882,101052682&106662140&106660065&101146238&101101242&101099934&101086659&101086651&101065691&101053829&101053520&101052889&101052406
2,54365906,https://stackoverflow.com/questions/54365906/cannot-convert-value-of-type-to-expected-argument-type-completionha,60299012&54366354&54366375,95570930&95545980&95545929&95545885&95545705&100298455&95572221&95570929
3,58386069,https://stackoverflow.com/questions/58386069/how-to-set-same-site-cookie-flag-in-spring-boot,58723552&58487733&58394797,NO_DATA
4,56920061,https://stackoverflow.com/questions/56920061/errors-after-running-expo-start,59176682&58432567&56920606,103205998&100544257&100415692
5,58811819,https://stackoverflow.com/questions/58811819/how-to-fix-ng-build-project-in-angular,60302130&58812069&58814466&58811894,103905143&103904739
6,58387606,https://stackoverflow.com/questions/58387606/flutter-app-running-error-dart-can-not-be-opened-developer-can-not-be-verified,60273577&60275193&59303185&58455252,103563377
7,54757386,https://stackoverflow.com/questions/54757386/watch-is-not-supported-without-git-hg-with-cygwin-jest-and-git,60300784&57364360&57049379&54757407,106672636&101253201&101250128&101249872
8,55843097,https://stackoverflow.com/questions/55843097/does-spread-operator-affect-performance,60300617&58569057&55843348&55843172,98348811&98348719&105248549&105248492&105248461&104546570
9,56578783,https://stackoverflow.com/questions/56578783/how-to-create-a-reusable-uialert-actionsheet-as-an-uiviewcontroller-extension,56579842&56628787&56580023&56579288,99760369
10,54409874,https://stackoverflow.com/questions/54409874/how-to-make-background-color-same-as-image,60299160&59506642&54410060&54409993,96922782&95630824&95630779&95630765&95630669
11,58127896,https://stackoverflow.com/questions/58127896/error-could-not-load-the-default-credentials-firebase-function-to-firestore,60300583&59890057&58409339&59023973&58828202&58779000&58496034&58140389,102680621&102665500&102646560&106426951&106404921&106401332&106401254&106230096&105895889&105638359&105069055&104961175&104950677&104739084&104670818&104280802&104184759&103912315&103577903&103576742&103576729&103576693&102681516
12,56166319,https://stackoverflow.com/questions/56166319/python-django-error-oserror-winerror-123-the-filename-directory-name-or-vol,60182305&60141698&59299937&59261764&57179135&58172248&57674968&56618606,98960144&98959985&100753039
13,55496289,https://stackoverflow.com/questions/55496289/how-to-fix-attributeerror-module-tensorflow-has-no-attribute-get-default-gr,60318566&60300824&59964209&59959115&59916899&55496390&58986880&58948540&58888227&56427511&55497342,106665484&105157962&103830709&103420905
14,58321114,https://stackoverflow.com/questions/58321114/why-i-get-the-console-warning-process-kill-returned-unexpected-error-1-when,60169430&60263244&60222968&60162845&59345120&59913261&59814352&59617351&58539626&59278113&58774271,106254936&106137975&106038316&105921760&104965856&103949091&103748704&103742765&103722054&103375959&103087994&103038907&106397281&106286695&106266405&106228891&106109354&106043201&106037945&105620192&105609169&105603208&105492310&105433448&105407536&105231814&105226892&105197941&105062297&104966128&104775357&104769362&104711522&104558937&104374044&104209408&104174425&104129447&104039072&104038572&103992948&103987407&103987361&103984271&103967181&103954019&103928507&103915921&103842217&103842181&103819564&103817332&103812711&103798201&103742753&103625752
